Titolo,id_ristorante,Data,Target,Recensioni,Punteggio,Foto1,Foto2,user_id
"Catch up with work colleague.  Working lunch, the chicken and bacon salad and Curry of the day we're tasty and very filling.",g1006504-d5816534, 8 febbraio 2024,friends,"A great location, whether it's just to meet up with friends or work meeting, even cycle ride or dogs walk.
This is a genuinely friendly venue.","Punteggio 5,0 su 5",,,2675
Cena del sabato sera,g1006504-d1043682,,family,"Mio figlio e io volevo un pasto vero quando viaggio di ritorno a Bournemouth. Ero stato in Chianti è prima e abbiamo deciso di visitare. Abbiamo avuto una calorosa accoglienza. Il menu era tutte le scelte quello che ci si aspetta da un vero ristorante italiano e abbiamo mangiato gamberetti King con aglio e pesce spada iniziato seguita da una deliziosa bistecca cucinata esattamente come ognuno ha ordinato e un'insalata fresca e frizzante

vino della casa rosso è stato eccellente. Il personale cordiale e l'atmosfera eccellente anche se la musica era molto moderno

Grazie","Punteggio 5,0 su 5",,,1281
Charged for milk,g1005967-d12183920, 4 marzo 2024,couples,"I've never been charged for milk before.
Even more disappointing was that of the two coffees, only one of them needed milk. I only asked for one hot milk. Do they charge extra for heating it? Maybe she's on commission.
I think it's back to southdowns for us.","Punteggio 3,0 su 5",,,314
Check booking by phone first,g1006576-d10629745, 12 giugno 2022,family,Booked lunch online and received a confirmation of our booking. When we arrived the pub was CLOSED. Sign on the door saying chef was ill.  No response to my email. RECOMMEND TO CHECK YOUR BOOKING BY PHONE.,"Punteggio 1,0 su 5",,,1184
Christmas afternoon tea,g1005967-d13447953, 7 dicembre 2023,friends,"Had a great Christmas afternoon tea with friends yesterday 6th DECEMBER 2023
It was lovely, fabulous..we were well looked after by Hollie…and the other ladies
We were all full after eating the lovely tea
Thank you very much","Punteggio 5,0 su 5",,,806
christmas dinner,g1006576-d1006804, 27 dicembre 2023,couples,"me and my partner booked a christmas dinner at the woodman and was very impressed with the service and the way we were treated, the staff were very friendly         & welcoming . The christmas dinner was amazing and there was a great atmosphere , we both had a great christmas day at the woodman and would highly recommend it, we will definitley coming back to the woodman more often & will definitley be there for next christmas day . THANK YOU  tony & kim","Punteggio 5,0 su 5",,,1420
COMPLEANNO CENA,g1006504-d1043682,,couples,"Piacevole serata, il cibo era al di sopra della media, il servizio tendeva ad essere troppo veloce e quindi abbiamo chiesto loro di rallentare e ci danno un po' di tempo tra i corsi e abbiamo potuto avere più tempo per goderci il nostro pasto. La nostra preoccupazione principale era - quando abbiamo guardato il menu sul loro sito web i prezzi erano molto meno rispetto ai prezzi del menu del ristorante. Il menu del sito deve essere cambiata immediatamente per riflettere i prezzi che la gente sarà richiesto di pagare. Se questa è una tattica deliberata o non non sono certo ma ha bisogno di essere trattati con!","Punteggio 3,0 su 5",,,1480
Costly cancellation,g1006504-d2320409, 20 dicembre 2021,couples,"We booked to attend a party at Bentley’s Restaurant, Dudsbury Golf Club, paying fully (£45 each) 6 weeks in advance of the event. As we are extremely vulnerable, health-wise, we decided to cancel this booking 5 days before the date of the party, motivated by the growing Covid emergency. Bentley’s rejected our request for a refund, either in part or complete, siting grounds based on ‘clause 3’. Given the rapid escalation of this pandemic wave, we feel that this decision is wholly avaricious and totally lacking moral largess. Their culinary and hospitality offering may well be excellent (though from reading other reviews, maybe not), but we’ll never know","Punteggio 1,0 su 5",,,710
Cosy and charming cafe,g1005967-d13447953, 19 novembre 2023,family,"Came here on a blustery autumn day. On arrival we were seated in a beautiful room with a roaring fire, this set the tone for the place- quaint, charming and warming.

The staff were all lovely, efficient and easy to talk to and our food was all delivered in good time.

The coffee was superb and well made. The food was incredibly generously portioned, especially considering the price. It was also refreshingly unpretentious. I ordered the veggie breakfast, everything you would expect to be on a breakfast was represented and it was all well cooked and tasted good quality.

One of the best breakfast experiences I’ve had for a long while!","Punteggio 5,0 su 5",,,981
Cosy cafe with a big menu and tasty food,g1006175-d2354647, 8 febbraio 2024,couples,"We live locally and regularly eat here. We love it. It’s great for brekky, lunch, snacks or larger  meals. Great value for money and the team is friendly and helpful. All local people. 

We usually sit-in, but we’ve had plenty of take-outs too. All good.","Punteggio 5,0 su 5",,,193
Cosy pub,g1006175-d6104159, 30 dicembre 2023,family,"Visited yesterday. Didn't book but got a table straightaway. Is dog friendly which is great. Was advised food may take a little while but was served very promptly. Barman was very friendly even though he was extremely busy. All of our food was gorgeous. My steak pie was lovely and obviously home made. 
Lovely cosy pub. Would travel from our home in Washington to go for dinner.","Punteggio 5,0 su 5",,,1809
Cosy Restaurant,g1006504-d3201313, 6 maggio 2024,couples,"Was in the area and found this restaurant by coincidence. Exceptional ambient coupled with good parking facilities makes the choice to dine here easier. Very good food and friendly staff, definitely recommend and would love to come again.","Punteggio 5,0 su 5",,,564
Could be better .,g1006576-d1006804, 19 maggio 2024,family,"Lovely location, lovely pub and beautiful garden . Meals were good and staff were really amazing , they couldn’t do enough for us . Good value . Our only issue was tall blonde lady , I don’t know she was a manager or the owner,but  we find her extremely rude and unnecessarily arrogant. She needs to know about customer service and some manners .","Punteggio 3,0 su 5",,,2402
Could be better!,g1006504-d6620815, 2 giugno 2023,couples,"Visited for breakfast as we were passing, food was average I just wish they would serve hotter food instead of rushing to get your food to your table and it’s barely warm. Coffee is that strong you could stand your spoon up in it, I guess that’s because they do free refills and they don’t want you to overdose on caffeine 😂","Punteggio 3,0 su 5",,,367
Could have done better!,g1005967-d3783536, 30 aprile 2024,family,"Monday 29 April. I've had much better in The Bull!! The mushroom 'pate' turned out to be very 'liquid' in consistency and spooned onto my toast - don't think it should have been described as 'pate' as I would have chosen something different. Run out of pomegranate seeds to add to the roasted cauliflower. The burger was very well done underneath and difficult to cut. The third meal - chicken, leek and bacon pie was apparently superb.  No, I didn't grumble at the time as it was a birthday occasion and I didn't want to cause a fuss. Sorry but this is the very first time I've been disappointed with my visit to our local pub! (Service excellent though btw.)","Punteggio 4,0 su 5",,,800
Cream tea bargain,g1006504-d3626394, 4 maggio 2024,couples,"A great choice of afternoon tea fare and drinks to be had here, apparently they sell garden 'stuff' as well, there's a bonus.","Punteggio 5,0 su 5",,,2547
Dads 80th,g1006576-d1006804, 9 ottobre 2023,family,We visited here for my dads 80th birthday. Food was lovely. All the food came out together which is good. Staff so friendly and service amazing. Roasts are lovely. Thank you for a lovely evening,"Punteggio 5,0 su 5",https://media-cdn.tripadvisor.com/media/photo-l/2a/8a/59/9f/caption.jpg,,2448
Dare a questo ristorante una vasta ormeggio.,g1006504-d1043682,,couples,"Il ristorante italiano peggiore in cui abbiamo mai cenato in tutto il mondo. L'antipasto era una barzelletta. Qual è stato l'uovo in camicia seduta sulla parte superiore? Era che per mascherare il scarno antipasto floscia? Vitello è giovane carne di vitello. La mia era da una bolla vecchia all'alpeggio. Un ospite al nostro tavolo ordinato filetto di media che era servita blu. Insalata era una vergogna. Il cibo italiano sta divertimento non delusione. - Personale breve e si vedeva. La parte più piacevole del pasto era il vino. N - uno dal nostro gruppo di sei avrebbe mai tornare. Certo non scegliere dessert, gli antipasti e alimentazione erano sufficienti per inviare portandola altrove.","Punteggio 1,0 su 5",,,626
